,country
1,Albania
2,Algeria
3,American Samoa
4,Angola
5,Antarctica
6,Antigua and Barbuda
7,Argentina
8,Australia
9,Austria
10,Bangladesh
11,Belarus
12,Belgium
13,Belize
14,Benin
15,Bermuda
16,Bhutan
17,Bolivia
18,Botswana
19,Brazil
20,British Virgin Islands
21,Bulgaria
22,Burundi
23,Cambodia
24,Cameroon
25,Canada
26,Cape Verde
27,Central African Republic
28,Chad
29,Chile
30,China
31,Colombia
32,Comoros
33,Costa Rica
34,Croatia
35,Cuba
36,Curacao
37,Cyprus
38,Czech Republic
39,Democratic Republic of the Congo
40,Denmark
41,Dominica
42,Dominican Republic
43,Ecuador
44,Egypt
45,Equatorial Guinea
46,Estonia
47,Ethiopia
48,Falkland Islands
49,Fiji
50,Finland
51,France
52,French Polynesia
53,French Southern and Antarctic Lands
54,Gabon
55,Georgia
56,Germany
57,Ghana
58,Greece
59,Greenland
60,Guam
61,Guatemala
62,Guernsey
63,Guinea
64,Guinea Bissau
65,Guyana
66,Heard Island and McDonald Islands
67,Honduras
68,Hungary
69,Iceland
70,India
71,Indonesia
72,Iran
73,Iraq
74,Ireland
75,Israel
76,Italy
77,Ivory Coast
78,Jamaica
79,Japan
80,Jersey
81,Jordan
82,Kazakhstan
83,Kenya
84,Kuwait
85,Latvia
86,Liberia
87,Lithuania
88,Macedonia
89,Madagascar
90,Malawi
91,Malaysia
92,Mauritius
93,Mexico
94,Mongolia
95,Montenegro
96,Montserrat
97,Morocco
98,Mozambique
99,Myanmar
100,Namibia
101,Nepal
102,Netherlands
103,New Caledonia
104,New Zealand
105,Nicaragua
106,Niger
107,Nigeria
108,North Korea
109,Northern Cyprus
110,Northern Mariana Islands
111,Norway
112,Oman
113,Pakistan
114,Panama
115,Papua New Guinea
116,Paraguay
117,Peru
118,Poland
119,Portugal
120,Puerto Rico
121,Republic of the Congo
122,Romania
123,Russia
124,Rwanda
125,Saint Helena
126,Saint Kitts and Nevis
127,Saint Lucia
128,Samoa
129,Saudi Arabia
130,Senegal
131,Seychelles
132,Sierra Leone
133,Singapore
134,Slovakia
135,Slovenia
136,Solomon Islands
137,Somalia
138,South Africa
139,South Georgia and South Sandwich Islands
140,South Korea
141,Spain
142,Sri Lanka
143,Sudan
144,Suriname
145,Sweden
146,Switzerland
147,Taiwan
148,Thailand
149,The Bahamas
150,Trinidad and Tobago
151,Tunisia
152,Turkey
153,Turkmenistan
154,Uganda
155,Ukraine
156,United Arab Emirates
157,United Kingdom
158,United Republic of Tanzania
159,United States Minor Outlying Islands
160,United States of America
161,United States Virgin Islands
162,Uruguay
163,Venezuela
164,Vietnam
165,Western Sahara
166,Zambia
167,Zimbabwe
